Tweet, Sentiment_Label
b'RT @EricBakoua: Les rappeurs les plus dangereux aux states \nSuge Knight \n2pac \n50 cent \nJay z \nDiddy \nChief keef \nBirdman\nCes types la cont\xe2\x80\xa6',Negative
b'Birdman? https://t.co/z02jz2F7lz',Negative
b'RT @ASAPYams: want em to luv me like they luv birdman',Negative
b'RT @topherflorence: if ace from the powerpuff girls is in gorillaz and the superhero birdman was in powerpuff girls episode members only an\xe2\x80\xa6',Negative
b'RT @pablojuug: Mr me too the hardest beat outta all these but if he hops on grindin or that song with birdman its gonna be hard regardless\xe2\x80\xa6',Negative
b'RT @firstfinalframe: BIRDMAN (2014)\n\nDir. Alejandro G. I\xc3\xb1\xc3\xa1rritu\nDP: Emmanuel Lubezki\n\n#FirstAndFinalFrames https://t.co/sMmkDMXBFm',Negative
b'RT @adultswim: Birdman is Back. #HarveyBirdmanAttorneyGeneral https://t.co/suqpeDAGhL',Negative
b'RT @TheChallengeCup: #ChallengeCup \n\n@MickyMc88 \xe2\x9e\xa1\xef\xb8\x8f @Birdman_013 \xe2\x9e\x95\xf0\x9f\xa4\xb8= \xf0\x9f\x8f\x89 \n\n@DragonsOfficiel \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/SLsv2PoJL5',Negative
b'RT @vinny_7forever: The bro Anthony graduated \xf0\x9f\x98\xb0 Birdman better step his snack game up https://t.co/HuygAkLW9V',Positive
b'RT @Mr1738: I don\xe2\x80\x99t care what J Prince gotta say until he get his son and Drake money from Birdman',Negative
b'RT @YoungTunechiYM: "Birdman, let me hold a million bucks, He gave it to me, didn\xe2\x80\x99t even asked for what, yeah, that\xe2\x80\x99s how we do #YMCMB, yea\xe2\x80\xa6',Negative
b'RT @kayronthugga: Rember How even #LilWayne cudnt curb the ##Pusha T diss even when he involved his pops Birdman? ?\n\nDrake! PUSHA is taking\xe2\x80\xa6',Negative
b'RT @4kway: rubbin my hands together like birdman \xf0\x9f\xa6\x85\xe2\xad\x90\xef\xb8\x8f https://t.co/Ak7Wxisr4K',Negative
