Tweet, Sentiment_Label
b"RT @ChildhoodShows: They're tearing down the Drake &amp; Josh house this upsets me \xf0\x9f\x98\xa9 https://t.co/8MthqAea3S",Negative
b'RT @ErnieGnc: Drake in 2011 talking about Pusha T. https://t.co/EFFOd5HONV',Negative
b'RT @_huss3in: Only man capable of making a diss track to save drake. https://t.co/tfnYMvVgv6',Positive
b'RT @saytruuuth: OMFG, DRAKE RESPONDED TO PUSHA T !!!!! \xf0\x9f\x91\x80\xf0\x9f\x98\xb1\xf0\x9f\xa4\xaf https://t.co/KfmHUNfT3l',Negative
b"RT @TwitterMusic: Give #NewMusicFriday a try. \xf0\x9f\x8e\xb6\n\n\xf0\x9f\x8e\xb5 @DanAndShay \xe2\x9e\x96 Alone Together\n\xf0\x9f\x8e\xb5 @Drake \xe2\x9e\x96 I'm Upset\n\xf0\x9f\x8e\xb5 @FLAGALine\xe2\x9e\x96 Simple\n\xf0\x9f\x8e\xb5 @kanyewest \xe2\x9e\x96 ye\xe2\x80\xa6",Negative
b'@coluwagbemiga @cocoaafro @KingAbsolute_ @RealSway @Drake @LilTunechi @BET @TheSource Props to da Living Lyrical Le\xe2\x80\xa6 https://t.co/N7jlnWWu22',Negative
b'RT @_bryanamarie: Drake\xe2\x80\x99s baby momma is NOT ugly, y\xe2\x80\x99all lying to everyone. she has beautiful features y\xe2\x80\x99all not used to in america. https:/\xe2\x80\xa6',Positive
b'Am I the only one who caught the drake disses on tony tone',Negative
b'RT @mymixtapez: I\xe2\x80\x99m done \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #Drake #Pushat #MyMixtapez https://t.co/CtDFgNsS4h',Negative
b'Drake paid jr off \n\nDONT LET JR DISTRACT YALL FROM THE FACT DRAKE STILL AINT RESPONDED',Negative
b'RT @_Ricogottachill: Aye this chick on my snap said drake makes music for niggas who close the fridge with their hips. I just deleted this\xe2\x80\xa6',Negative
b'RT @MrPryority: Drake out here giving out cash to poor black families and this nigga with the braids rapping about selling poison to blacks\xe2\x80\xa6',Negative
b'Drake better be charged up I\xe2\x80\x99m getting mad dog',Negative
b'RT @Aziza_Red: @tori_deal is big mood lol #Drake #Drizzy https://t.co/B3OsamNK8t',Positive
b'RT @WORLDSTAR: Why y\xe2\x80\x99all do Drake like this?! \xf0\x9f\x98\xa9\xf0\x9f\x98\x82 https://t.co/ze2RimlwhS',Negative
b'RT @TheBreyKeys: Most of Drake fans is hoes and hookah smokers RT @DomainDiego619: If drake make a fire album people will forget but the in\xe2\x80\xa6',Positive
b'RT @CraigSJ: Kanye rapped that "write my wrongs" line first and then Drake borrowed it twice and then Push used it to diss Drake and now Ka\xe2\x80\xa6',Positive
b'*I just want to let everyone that\xe2\x80\x99s waiting for drake to know that he\xe2\x80\x99ll be responding on his album ...you\xe2\x80\x99re welcome \xf0\x9f\x98\x8f\n\n!\xc2\xa1',Positive
b'RT @BM4RM914: They Said DRAKE Is For NIGGAS Who CLOSE They REFRIGERATOR With They HIPS \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negative
b'RT @AniCaribbean: Jaden Smith told @BigBoy Complex lied about Drake and Kanye \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/LjB13bz9Hr',Negative
b'@matte_bIack @Drake Your queen is weak',Negative
b'Drake up to bat',Negative
b'@uhhh_b00m @CoffeeWithGods @Eli_Pierre @HotFreestyle He named his clothing line after HIS SON and has been paying H\xe2\x80\xa6 https://t.co/GFcMS6FSPC',Negative
b'@jetsers @Iridian_Willow Hmmm Scales &amp; feathers................. Perhaps you not an eagle at all. Me thinks you are\xe2\x80\xa6 https://t.co/ZKtbQNHVwr',Negative
b'@cIassify Exactly that\'s why niggas need to stfu (specifically drake fans) when they say "Oh Pusha went too far" it\xe2\x80\xa6 https://t.co/ZQ0s1EnMHR',Positive
b'RT @woke_teen: leaked picture of drake and his son adonis https://t.co/S4sLReZh3h',Negative
b'RT @FuckChunga: Lil B responded to Joe Budden with a diss track in 15 fucking minutes... nobody has ever done that. \n\nNot Drake\nNot Pusha\nN\xe2\x80\xa6',Negative
b'RT @JessicaSmith06: When Nicki Minaj said \xe2\x80\x9cI never fucked Wayne, I never fucked drake\xe2\x80\x9d I felt that bc I also have not fucked Wayne or drake',Positive
b"RT @MotionFlows: \xe2\x9c\x8d\xef\xb8\x8f\xf0\x9f\x8d\xbd\xef\xb8\x8f\n\n@Nasty_CSA  riding on Drake's 'Duppy freestyle' instrumental\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#FreestyleFridays https://t.co/flV5HzPvxP",Negative
b'Boring, read up on Pusha T, drake had to put that one good deed on camera push been outchea https://t.co/HLI6b9WeDx',Negative
b'RT @rappin_4tay: You\xe2\x80\x99re Welcome \xf0\x9f\xa6\x89 @PUSHA_T @Drake @JimmyKimmelLive https://t.co/holKCeCwtU',Positive
b'Drake taking too long smh .',Negative
b'RT @ImaniYGB: My TL for the past 3 days: \n1. Pusha T and Drake\n2. Lebron\n3. Them "Unpopular Opinion Thread" shits \nI would ask if y\'all don\xe2\x80\xa6',Negative
b'RT @yoyotrav: Drake has 100k for dirt on Pusha T.\nThis man is in panic mode. https://t.co/lIcXeCwJAN',Negative
b'RT @RappersSaid: Drake: Yo Wayne I need yo help \n\nlil Wayne: ... https://t.co/5OdY6hEwQI',Negative
b'Drake - Gods Plan (Rave Radio &amp; Chardy Remix)\n\nVisit https://t.co/faXmV623L4\n\nFOLLOW US ON IG @BEYONDTHEBOOTH_',Negative
b'RT @evangeline_____: Drake gotta get full custody and become a single dad to get his female fans back',Positive
b'RT @charliekirk11: Mueller\xe2\x80\x99s anti-Trump investigation has cost 17 million dollars, &amp; only 17 lawyers/investigators have been working on it\xe2\x80\xa6',Negative
b'RT @JoeyLangone: Drake avoiding beef at all costs https://t.co/dXCjdikgH8',Negative
b'RT @imanica791: Trying to make friends with a group of black girls who are already friends is scary as hell and almost impossible. They too\xe2\x80\xa6',Negative
b'Knowing that Drake possibly has a child isn\xe2\x80\x99t sitting well with me.',Negative
b'RT @ThatTorontoGirl: Drake has two days before I tweet him saying \xe2\x80\x9cI waited 4 days nigga, where y\xe2\x80\x99all at?\xe2\x80\x9d',Negative
b'pusha was on drake but forgot to cover his own tracks https://t.co/hGJ6CKMOB8',Positive
b'RT @collard_greens: Like Drake Bell or not you didn\xe2\x80\x99t have to attack his appearance and hurt him like this. If you wanna talk about somethi\xe2\x80\xa6',Negative
b'RT @darlingBhuman: U KNOW WHAT, IM JUST GONNA SAY IT. I didnt know Pusha even dissed Drake until Drake came out with a response. https://t.\xe2\x80\xa6',Negative
b'RT @rappersaid: Drake: I only love my bed and my momma I\xe2\x80\x99m sorry\n\nDrake\xe2\x80\x99s son: https://t.co/d6byTnc8JO',Negative
b'RT @karinaalozanooo: Jlo reallyyyyy disssseeed drake \xf0\x9f\x98\xa9 https://t.co/yzCRaCCeh2',Negative
b'RT @connorbrooks015: Kanye better than drake ever will be',Positive
b'Because it\xe2\x80\x99s not worthy. Now watch Drake burn it down all summer...again. https://t.co/1AC5sm86Gd',Negative
b"Things I learned abt this week in convos w my high school students: \n\n*The nuances &amp; significance of Pusha T's diss\xe2\x80\xa6 https://t.co/6f0zVrMwi9",Positive
b"hoje eu t\xc3\xb4 que nem o drake, i'm upset",Negative
b'eu tento cantar mais alto que o drake',Negative
b'RT @magoato: Drake ded Kanye out nothing can ruin today',Negative
b'Ye this, Ye that \xf0\x9f\x99\x84 this drake album is my only concern',Negative
b'RT @stilldiverted: #StillDiverted: Drake has beef w/ Pusha T, a secret baby with a porn star &amp; photos of him wearing Blackface. Yikes.\n\nRos\xe2\x80\xa6',Negative
b'RT @ReggieRegSW: Send 75 up front @drake ill tell u the story about Pusha T https://t.co/Eu8QTLLpgo',Negative
b'RT @1800JAZZICA: I see it all . Pusha T this, Drake that. Speedsta ..... blase blah.. This vn just completed my 2018 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Yd34\xe2\x80\xa6',Negative
b'RT @TheAddyAdmiral: Gucci is a better dad to Lil Pump than Drake is to his actual son https://t.co/2IysRovSG8',Positive
b'RT @SleptDenki: Rare picture of Drake with his son https://t.co/5LBE4nYjDi',Positive
b'RT @trillest6_: Adonis: WHY YOU NEVER TAKE ME AND MOM TO CHEESECA-\n \nDrake: https://t.co/IIyYkT6ygl',Negative
b'RT @billboard: .@BTS_twt\'s "Fake Love" launches to No. 10, marking the first #Hot100 top 10 EVER for a K-pop group https://t.co/mn5So99x4Q\xe2\x80\xa6',Positive
