Tweet, Sentiment_Label
b'RT @StevenBonus: i dont think yall understand how important this is. This man is a RAPPER winning an award that has only been given to jazz\xe2\x80\xa6',Positive
b'The Kendrick adlibs on "Win" though \xf0\x9f\x91\x8c',Positive
b'RT @FuckChunga: Lil B responded to Joe Budden with a diss track in 15 fucking minutes... nobody has ever done that. \n\nNot Drake\nNot Pusha\nN\xe2\x80\xa6',Negative
b'#np: DNA -Kendrick Lamar',Negative
b"I liked a @YouTube video https://t.co/4mgapXbRRf Kendrick Lamar x A$AP Rocky Type Beat 'Modest' (prod. by Tape$)",Positive
b'RT @PicturingMusic: Kendrick Lamar. https://t.co/iQsvgWfW8K',Negative
b'The Weeknd, Kendrick Lamar - Pray For Me (Lyrics) https://t.co/82rNMmxi26 via @YouTube',Negative
b'Best way to come back after game 1\xe2\x80\x99s unsatisfying ending? Kendrick Perkins should dress, start, face guard Draymond\xe2\x80\xa6 https://t.co/uxs1dXomnf',Positive
b'RT @TalibKweli: Kendrick and JCole both \xe2\x80\x9cchart\xe2\x80\x9d more than any trap rapper. Fact. RT @RisingDarkstar: @Lyric_Divine @Mary_is_meaner @Plantat\xe2\x80\xa6',Positive
b'The spice girls are in the car next to us singing "alright" by Kendrick Lamar and I literally heard the word nigga at least 3 times\xf0\x9f\xa4\x94',Negative
b"I added a video to a @YouTube playlist https://t.co/e617gak4hb Wat's Wrong - Isaiah Rashad [Instrumental] ft. Kendrick Lamar, Zacari",Negative
b'who is this in your display picture in twitter? \xe2\x80\x94 sir kendrick lamar duckworth https://t.co/ZSOczXHW0a',Negative
b'Got front row to Kendrick 10 minutes ago..fuck it',Negative
b'Kendrick was trippin bc he ain\xe2\x80\x99t going with us to Vegas! Accused me of going with another dude and errrthing!!! \xf0\x9f\x98\x82',Negative
b'RT @ajplus: Kendrick Lamar accepted a Pulitzer Prize for his album \xe2\x80\x9cDAMN\xe2\x80\x9d. \n\nHe is the first rapper to win the award for music. https://t.c\xe2\x80\xa6',Positive
b'RT @Joonownsme: People are really ready to throw Kendrick under the bus to fit their narrative..Marty this is wild \xf0\x9f\x91\x80 https://t.co/JLAp79Ste1',Positive
b'RT @RappersSaid: We are entering the era of grown man rap for the first time ever.\n\nEminem - 45 yrs\nJay-Z - 48 yrs\nKanye - 40 yrs\nNas - 44\xe2\x80\xa6',Positive
b'I liked a @YouTube video https://t.co/xvfN14hbuw Rapsody - Power ft. Kendrick Lamar, Lance Skiiiwalker',Positive
b'RT @AdamJ_NBAGL: A combined 11 players in the Finals have G League experience:\nDamian Jones\nPatrick McCaw\nKevon Looney\nQuinn Cook\nJordan Be\xe2\x80\xa6',Negative
b"RT @mcten: Draymond Green is mimicking a cheerleader waving pom-poms to mock Kendrick Perkins who is screaming down towards the Warriors' s\xe2\x80\xa6",Negative
b'Kendrick or ye? \xe2\x80\x94 Kanye West https://t.co/kN3iiT0CSx',Negative
b"RT @Genius: kung fu kenny is back in full effect for @sza's new \xe2\x80\x9cdoves in the wind\xe2\x80\x9d video \xf0\x9f\x98\xad\nhttps://t.co/CPVIjY80Lt https://t.co/eYBxqDposK",Positive
b'RT @Colebear8: RIP to all the names I can\xe2\x80\x99t name my children because of the people that ruined it with their awful personality\xe2\x80\x99s',Negative
b"RT @Atty_R_Anderson: Law Student Update!!! Top Dawg Explains How He Warned Spotify's CEO That Kendrick Lamar, Others Would Pull Music Over\xe2\x80\xa6",Positive
b'RT @whocalledmike: @Drebae_ @skylamae_ Don\xe2\x80\x99t listen to Kendrick, Tupac, Biggie, Kanye, don\xe2\x80\x99t watch any Johnny deep, Mark Wahlberg, don\xe2\x80\x99t ac\xe2\x80\xa6',Negative
b'RT @travislylesnews: Kendrick arrives at the Pulitzer luncheon to accept his Pulitzer Prize in Music https://t.co/Crq4Y4EVlJ',Negative
b'A combined 11 players in the Finals have G League experience:\nDamian Jones\nPatrick McCaw\nKevon Looney\nQuinn Cook\nJo\xe2\x80\xa6 https://t.co/JfOOjNTjOz',Negative
b'#NowPlaying B Martin ft Kendrick Lamar Juicy J - I Want It All I Want It All B Martin ft Kendrick Lamar Juicy J',Negative
b"Kendrick Lamar - Bitch, Don't Kill My Vibe (Explicit) https://t.co/WperdUYfuF via @YouTube",Negative
b'RT @KevinMcCarthyTV: WE JUST MET KENDRICK LAMAR!!! \n\nI can\xe2\x80\x99t believe I just shook his hand &amp; thanked him for \xe2\x80\x9cControl\xe2\x80\x9d verse.\n\nThat verse c\xe2\x80\xa6',Negative
