Tweet, Sentiment_Label
b"RT @MattGally01: 58) T-Pain - Can't Believe It (ft. Lil' Wayne) https://t.co/j9xCm9Fvoi",Negative
b'RT @RappersSaid: Drake: Yo Wayne I need yo help \n\nlil Wayne: ... https://t.co/5OdY6hEwQI',Negative
b'RT @MattGally01: 57) Lil Wayne - Lollipop (ft. Static) https://t.co/uhX6n9mnTE',Positive
b'RT @ClassiestQueen: She\xe2\x80\x99s the daughter of Lil Wayne. She\xe2\x80\x99s been living her best life since birth. https://t.co/k3LR3CLRvY',Positive
b'*lil Wayne flicks lighter* https://t.co/hFllqUdODN',Negative
b'RT @Lilgeeeeee: Never forgot when Lil Wayne found out Gucci mane made the hip-hop list over Eminem https://t.co/scAQ6cZrff',Negative
b'Lil Wayne @LilTunechi https://t.co/D4yBuG17Th',Negative
b'yee yee twitter needs to start picking each other off with their guns. like go out back and do a quick draw or somethin, Lil John Wayne',Positive
b'RT @1KingGohan: Drake: Yo Wayne I need yo help \n\nlil Wayne: ..... https://t.co/zVxmxQ1IIZ',Negative
b'RT @ccalebW: How to Love by lil Wayne is a classic.',Positive
b'Lil Wayne snapped on the track See You In My Nightmares by Kanye West',Negative
b'Lil Wayne: "Don\'t play in her garden and don\'t smell her flower"\n\nMe: https://t.co/d896qlbl88',Negative
b'NowPlaying Pillowtalk  ft. Lil Wayne - ZAYN https://t.co/uK3j5o6yH8 00:57',Negative
b'Zoey Dollaz f. Lil Wayne - Mula (Radio Edit) https://t.co/xqISje59ls https://t.co/sbfOduL5Py  94.3FM 1240AM',Negative
b'RT @Delatorvi: Eu me lembro de quando Kid Cudi e Lil Wayne eram cr\xc3\xadticados pelo auto-tune e hj percebo o quanto os cr\xc3\xadticos estavam errados\xe2\x80\xa6',Negative
b'RT @RappersSaid: We are entering the era of grown man rap for the first time ever.\n\nEminem - 45 yrs\nJay-Z - 48 yrs\nKanye - 40 yrs\nNas - 44\xe2\x80\xa6',Positive
b"RT @XXL: The 'Superfly' soundtrack is about to be lit\nhttps://t.co/fYWCSNNt6r",Negative
b'NP: Nicki Minaj High School (feat. Lil Wayne) #nowplaying https://t.co/r7lh8FNjj3',Positive
b'yo lil wayne needs to come out with some pants so i can wear a smuckers outfit',Negative
b'#NowPlaying "Wit My Left" by Fendi P, Lil Wayne on @TIDAL',Negative
b'RT @xo_xo_crayy: Lil Wayne Attends Miami Marlins vs. Washington Nationals Baseball Game [Pictures] https://t.co/UqMr0zezDR',Negative
b'RT @LilWayneHQ: Future &amp; Lil Wayne\'s "Drive Itself" Collaboration Drops This Month - https://t.co/ssBgm61xD1 #SUPERFLY https://t.co/aIzKWzf\xe2\x80\xa6',Negative
b'RT @DEEDANNEL: Lil Wayne Is FUCKING TRASH NOWWW NO CAP!!!!!',Negative
b"lil wayne voice* he can't save you...",Negative
b'thats my nigga by lil wayne ft kid kid https://t.co/lRJv4xMxFo via @YouTube #FlashBackFriday',Negative
b'RT @sarahyoulean: The only Lil I fw is Wayne https://t.co/pLEIKDnYOh',Negative
b'@lunapalacios_ She looked like a cheap knock off of lil Wayne',Positive
b'RT @RappersSaid: 2006-2008 if it say \xe2\x80\x9cFt. T-Pain\xe2\x80\x9d or \xe2\x80\x9cFt. Lil Wayne\xe2\x80\x9d it was a hit',Negative
b'RT @_lcv3_: Lil Wayne will NEVER be touched lyrically. https://t.co/Aii2RC81mH',Negative
b'RT @rappersaid: We are entering the era of grown man rap for the first time ever.\n\nEminem - 45 yrs\nJay-Z - 48 yrs\nKanye - 40 yrs\nNas - 44 y\xe2\x80\xa6',Positive
b'Don\xe2\x80\x99t forget when Lil Wayne said. \n\xe2\x80\x9c suck a nigga dick for a iPhone 6, fuck my nigga Terry for a new blackberry \xe2\x80\x9c',Negative
b'RT @brendan4skinner: Lil Wayne is the best \xe2\x80\x9cLil\xe2\x80\x9d rapper out there https://t.co/qauOPXEnAz',Positive
b'RT @billboard: Future unveils track list for #Superfly soundtrack, feat. Miguel &amp; Lil Wayne https://t.co/8ddHQncmkr https://t.co/cYYwY1p21f',Negative
b'#NowPlaying Nightmares of the Bottom by Lil Wayne',Negative
b'RT @duro_timee: @Don_TEE "...diss me you\'ll never hear a reply for it..." \nDrake ft. Trey Songz and Lil Wayne--- Successful',Positive
b'Bentley Truck - 2 Chainz and Lil Wayne https://t.co/s3JZBURQPN',Negative
b'David Guetta Feat. Chris Brown &amp; Lil Wayne - I Can Only Imagine https://t.co/rBMfpYTgKD https://t.co/0o24RFbiln',Negative
b'RT @charlie_moylan: 1952: Malcolm Little sheds his slave name and becomes Malcolm X\n1991: Dwayne Carter joins Cash Money records inverting\xe2\x80\xa6',Negative
b'Yo lil wayne, Ludacris and mgk are performing next weekend at the cannabis cup. Geeeeeeeekeeeddd',Negative
b'RT @RapHubDaily: Future\'s "SuperFly" Soundtrack will feature Lil Wayne, Young Thug, 21 Savage, Khalid, PartyNextDoor, Miguel, and others ht\xe2\x80\xa6',Positive
b'RT @Wills__Way: The best girls rap every word to old lil Wayne songs',Positive
b"Paper Planes Remix (ft. Yo Gotti, Lil' Wayne, M.I.A., 50 Cent &amp; Kanye West) https://t.co/qPkKVKSPto via @YouTube",Negative
b'Jeremih - All The Time ft. Lil Wayne &amp; Natasha Mosley (Lyrics On SCREEN) HD Now playing on @GKRadioFTW RT',Negative
