Tweet, Sentiment_Label
b'RT @YouKnowVon: Niggas sayin Pusha T went too far as if T-Top didn\xe2\x80\x99t literally tell Sno this to his face lol... https://t.co/a2mLlkiKiu',Positive
b'RT @ErnieGnc: Drake in 2011 talking about Pusha T. https://t.co/EFFOd5HONV',Negative
b'RT @saytruuuth: OMFG, DRAKE RESPONDED TO PUSHA T !!!!! \xf0\x9f\x91\x80\xf0\x9f\x98\xb1\xf0\x9f\xa4\xaf https://t.co/KfmHUNfT3l',Negative
b'RT @cheapyxo: Ok but when I made jokes like this I got cancelled for hating black people. Pusha T makes them and \xe2\x80\x9che\xe2\x80\x99s clearly joking\xe2\x80\x9d http\xe2\x80\xa6',Positive
b'@PUSHA_T Your a weak ass House Nigga for doing this your a puppet disrespect Whitney',Negative
b'PUSHA T PERFORMS \xe2\x80\x9cIF YOU KNOW YOU KNOW\xe2\x80\x9d LIVE @ JIMMY KIMMEL\xc2\xa0LIVE https://t.co/MgI9Qc55rH https://t.co/aMMTxGKU2A',Positive
b'RT @chartdata: US preliminary report: Shawn Mendes #1 with career best week, A$AP Rocky and Pusha T top 5 with ~73k each and BTS remains to\xe2\x80\xa6',Positive
b'RT @k__antwanette: Tupac literally started a diss track with \xe2\x80\x9cThat\xe2\x80\x99s why I fucked yo bitch you fat muthafucka\xe2\x80\x9d and y\xe2\x80\x99all saying Pusha T was\xe2\x80\xa6',Negative
b'@officiallyrory @DrewUnga @jusblaze_513 @fleezy4reel @BaylorTheGreat @dLifeHD @__Christan @Chet_OHara @A2Sources\xe2\x80\xa6 https://t.co/ZplaB6WZT6',Negative
b'Boring, read up on Pusha T, drake had to put that one good deed on camera push been outchea https://t.co/HLI6b9WeDx',Negative
b'RT @Unkle_K: Pusha T done fucked it up for everybody now https://t.co/GxqFVlPjHI',Negative
b'RT @rappin_4tay: You\xe2\x80\x99re Welcome \xf0\x9f\xa6\x89 @PUSHA_T @Drake @JimmyKimmelLive https://t.co/holKCeCwtU',Positive
b'RT @ImaniYGB: My TL for the past 3 days: \n1. Pusha T and Drake\n2. Lebron\n3. Them "Unpopular Opinion Thread" shits \nI would ask if y\'all don\xe2\x80\xa6',Negative
b'RT @yoyotrav: Drake has 100k for dirt on Pusha T.\nThis man is in panic mode. https://t.co/lIcXeCwJAN',Negative
b'RT @RealCreole: Niggas told me Pusha T went too far with what he said about OVO 40 like Arsonal didn\xe2\x80\x99t say this ruthless ass shit https://t\xe2\x80\xa6',Negative
b"Things I learned abt this week in convos w my high school students: \n\n*The nuances &amp; significance of Pusha T's diss\xe2\x80\xa6 https://t.co/6f0zVrMwi9",Positive
b"If @PUSHA_T wasn't already a legend( in y'all eyes) HE IS NOW.",Negative
b'RT @stilldiverted: #StillDiverted: Drake has beef w/ Pusha T, a secret baby with a porn star &amp; photos of him wearing Blackface. Yikes.\n\nRos\xe2\x80\xa6',Negative
b'RT @ReggieRegSW: Send 75 up front @drake ill tell u the story about Pusha T https://t.co/Eu8QTLLpgo',Negative
b'RT @1800JAZZICA: I see it all . Pusha T this, Drake that. Speedsta ..... blase blah.. This vn just completed my 2018 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Yd34\xe2\x80\xa6',Negative
b'Good music playlist looking good \xf0\x9f\x91\x80 @kanyewest @CyhiThePrynce @PUSHA_T @LifeOfDesiigner https://t.co/mv70yYZCo5',Positive
